"smell_type","project_link"
"Feature Concentration","https://github.com/042020-dotnet-uta/ashleyBracken-repo0"
"Feature Concentration","https://github.com/042020-dotnet-uta/Team1-repo2"
"Feature Concentration","https://github.com/042020-dotnet-uta/davidSawyer-repo0"
"Feature Concentration","https://github.com/042020-dotnet-uta/ashleyBracken-repo1"
"Feature Concentration","https://github.com/042020-dotnet-uta/jaysonLennon-repo1"
"Feature Concentration","https://github.com/042020-dotnet-uta/johnHeckenliable-repo0"
"Feature Concentration","https://github.com/042020-dotnet-uta/johnHeckenliable-repo1"
"Feature Concentration","https://github.com/042020-dotnet-uta/kenEndo-repo0"
"Feature Concentration","https://github.com/042020-dotnet-uta/johnKear-repo1"
"Feature Concentration","https://github.com/042020-dotnet-uta/kenEndo-repo1"
"Feature Concentration","https://github.com/042020-dotnet-uta/kingsleyOnonachi-repo0"
"Feature Concentration","https://github.com/042020-dotnet-uta/sulavAryalPipeLineDemo"
"Feature Concentration","https://github.com/042020-dotnet-uta/sulavAryal-repo0"
"Feature Concentration","https://github.com/042020-dotnet-uta/ryanOxford-repo0"
"Feature Concentration","https://github.com/042020-dotnet-uta/michaelHall-repo0"
"Feature Concentration","https://github.com/042020-dotnet-uta/xavierDiaz-repo1"
"Feature Concentration","https://github.com/042020-dotnet-uta/team4-repo2"
"Feature Concentration","https://github.com/0421mk/java-servlet-project"
"Feature Concentration","https://github.com/0468386988/ASP.NET-CP-WorkShop"
"Feature Concentration","https://github.com/043Tech/Steppenwolf"
"Feature Concentration","https://github.com/04551lh/dvr"
"Feature Concentration","https://github.com/0501a/understandjava"
"Feature Concentration","https://github.com/04sohyun/self1"
"Feature Concentration","https://github.com/0502j/EasySpeak"
"Feature Concentration","https://github.com/0532/JXLS"
"Feature Concentration","https://github.com/05saitejaswi/Cognizant-s-Digital-Nurture-"
"Feature Concentration","https://github.com/06-SEEK/android-hrm"
"Feature Concentration","https://github.com/06012021-dotnet-uta/AlainDuplanP1"
"Feature Concentration","https://github.com/06012021-dotnet-uta/GuillermoDelgadoP0"
"Feature Concentration","https://github.com/06012021-dotnet-uta/P2_PetTracker"
"Feature Concentration","https://github.com/06012021-dotnet-uta/P2_PokeLoot"
"Feature Concentration","https://github.com/06012021-dotnet-uta/P2_MovieTheaterGroup"
"Feature Concentration","https://github.com/06110902002/Android_UIKit"
"Feature Concentration","https://github.com/061103/ByHb"
"Feature Concentration","https://github.com/06110902002/RecyclerView_Nav_Menu"
"Feature Concentration","https://github.com/071921-LTI/BookBros-spring-back"
"Feature Concentration","https://github.com/071921-LTI/CWT-Back"
"Feature Concentration","https://github.com/071921-LTI/Andy-Wang"
"Feature Concentration","https://github.com/071921-LTI/Chris-Pantani"
"Feature Concentration","https://github.com/071921-LTI/Christian-Osada"
"Feature Concentration","https://github.com/071921-LTI/David-Veller"
"Feature Concentration","https://github.com/071921-LTI/Enrique-Gomez"
"Feature Concentration","https://github.com/071921-LTI/Michael-Wilder"
"Feature Concentration","https://github.com/071921-LTI/Nick_Urban"
"Feature Concentration","https://github.com/071921-LTI/TRiPLNR-back"
"Feature Concentration","https://github.com/071921-LTI/Tim-StDennis"
"Feature Concentration","https://github.com/0776375064/doan4"
"Feature Concentration","https://github.com/071921-LTI/mickey-mouse"
"Feature Concentration","https://github.com/07prajwal2000/PizzaShop-Admin"
"Feature Concentration","https://github.com/08162021-dotnet-uta/AkilTomlinsonRepo1"
"Feature Concentration","https://github.com/08162021-dotnet-uta/CoryTinsleyRepo1"
"Feature Concentration","https://github.com/08162021-dotnet-uta/P2_Group3"
"Feature Concentration","https://github.com/08162021-dotnet-uta/P2_TheTofuWarriors"
"Feature Concentration","https://github.com/08162021-dotnet-uta/P2_NotFightClub"
"Feature Concentration","https://github.com/0868307/Project78"
"Feature Concentration","https://github.com/0866803699/TravelTheWorld1"
