"smell_type","component","responsible_classes","repository_link","name"
"Feature Concentration","io.github.muxiaobai.io_rpc_common","NA","https://github.com/00pf00/rpc","rpc"
"Feature Concentration","lib_json","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","P2DbContext.Models","P2DbContext.Models.FullPost","https://github.com/06012021-dotnet-uta/P2_PokeLoot","P2_PokeLoot"
"Feature Concentration","RevatureP1.Models","RevatureP1.Models.Order, RevatureP1.Models.OrderDetails, RevatureP1.Models.Customer, RevatureP1.Models.ErrorViewModel, RevatureP1.Models.Product","https://github.com/042020-dotnet-uta/johnHeckenliable-repo0","johnHeckenliable-repo0"
"Feature Concentration","com.lti","NA","https://github.com/071921-LTI/Andy-Wang","Andy-Wang"
"Feature Concentration","mgkportlet.service","NA","https://github.com/021Mgk/portal-7-3-7-ga8","portal-7-3-7-ga8"
"Feature Concentration","com.pizzashop.pizzashopexample","NA","https://github.com/07prajwal2000/PizzaShop-Admin","PizzaShop-Admin"
"Feature Concentration","NotFightClub_Models.ViewModels","NotFightClub_Models.ViewModels.ViewComment, NotFightClub_Models.ViewModels.ViewFight, NotFightClub_Models.ViewModels.ViewFighter, NotFightClub_Models.ViewModels.ViewLocation, NotFightClub_Models.ViewModels.ViewTrait, NotFightClub_Models.ViewModels.ViewUserInfo, NotFightClub_Models.ViewModels.ViewWager, NotFightClub_Models.ViewModels.ViewWeapon, NotFightClub_Models.ViewModels.ViewWeather","https://github.com/08162021-dotnet-uta/P2_NotFightClub","P2_NotFightClub"
"Feature Concentration","za.ac.cput.factory","NA","https://github.com/010Jay/Adp3Assignment3Group09","Adp3Assignment3Group09"
"Feature Concentration","com.cskaoyan.javase.homework.day13","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","rajawali.util","NA","https://github.com/0868307/Project78","Project78"
"Feature Concentration","proj1_OnlineStore.Data.Repository","proj1_OnlineStore.Data.Repository.LineItemRepository, proj1_OnlineStore.Data.Repository.LocationRepository, proj1_OnlineStore.Data.Repository.AddLineItemResult, proj1_OnlineStore.Data.Repository.OrderRepository, proj1_OnlineStore.Data.Repository.ProductRepository","https://github.com/042020-dotnet-uta/johnKear-repo1","johnKear-repo1"
"Feature Concentration","RPGReload","RPGReload.GenerateRandomNumber","https://github.com/042020-dotnet-uta/sulavAryal-repo0","sulavAryal-repo0"
"Feature Concentration","com.revature.daos","NA","https://github.com/071921-LTI/mickey-mouse","mickey-mouse"
"Feature Concentration","day29","NA","https://github.com/04sohyun/self1","self1"
"Feature Concentration","com.example.traveltheworld.adapter","NA","https://github.com/0866803699/TravelTheWorld1","TravelTheWorld1"
"Feature Concentration","P1Shop.Controllers","P1Shop.Controllers.HomeController, P1Shop.Controllers.OrderController, P1Shop.Controllers.OrderDetailsController, P1Shop.Controllers.ProductController, P1Shop.Controllers.ShopController, P1Shop.Controllers.StoreController","https://github.com/06012021-dotnet-uta/GuillermoDelgadoP0","GuillermoDelgadoP0"
"Feature Concentration","com.jica.thread.sync","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.saiful.mbamaster.level3_frag","NA","https://github.com/007shishir/MBA-Master","MBA-Master"
"Feature Concentration","utils","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.cskaoyan.javase.homework.day06","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","swing.game_ex","NA","https://github.com/0000chris11/Java_Examples","Java_Examples"
"Feature Concentration","com.example.googlemapnote.models.notes","NA","https://github.com/00ZRHun/google-map-note","google-map-note"
"Feature Concentration","NotFightClub_Logic.Mappers","NotFightClub_Logic.Mappers.FighterMapper, NotFightClub_Logic.Mappers.FightMapper, NotFightClub_Logic.Mappers.TraitMapper, NotFightClub_Logic.Mappers.UserInfoMapper, NotFightClub_Logic.Mappers.WeaponMapper","https://github.com/08162021-dotnet-uta/P2_NotFightClub","P2_NotFightClub"
"Feature Concentration","com.jamile.easyspeak_v21","NA","https://github.com/0502j/EasySpeak","EasySpeak"
"Feature Concentration","com.lntinfotech.exceptions","NA","https://github.com/071921-LTI/Enrique-Gomez","Enrique-Gomez"
"Feature Concentration","Day_3.ViewModel","Day_3.ViewModel.InfoStaffViewModel, Day_3.ViewModel.InsertProductsViewModel, Day_3.ViewModel.LoginViewModel, Day_3.ViewModel.ProductsViewModel, Day_3.ViewModel.RegisterViewModel, Day_3.ViewModel.StaffViewModel, Day_3.ViewModel.UpdateProductsViewModel","https://github.com/0336328069/ProjectCodeFirstCRUD","ProjectCodeFirstCRUD"
"Feature Concentration","autotestlearn.lesson14","NA","https://github.com/016image/autotestlearnmav","autotestlearnmav"
"Feature Concentration","za.ac.cput.entity","NA","https://github.com/010Jay/Adp3Assignment3Group09","Adp3Assignment3Group09"
"Feature Concentration","day11","NA","https://github.com/04sohyun/self1","self1"
"Feature Concentration","com.bookbros.controllers","NA","https://github.com/071921-LTI/BookBros-spring-back","BookBros-spring-back"
"Feature Concentration","StoreAppApi.Controllers","StoreAppApi.Controllers.OrderProductsController, StoreAppApi.Controllers.OrdersController, StoreAppApi.Controllers.ProductsController, StoreAppApi.Controllers.StoreAppApi_cController, StoreAppApi.Controllers.StoresController, StoreAppApi.Controllers.WeatherForecastController","https://github.com/08162021-dotnet-uta/CoryTinsleyRepo1","CoryTinsleyRepo1"
"Feature Concentration","com.jica.io.serializable","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.y.community.model","NA","https://github.com/0-yy-0/Y-community","Y-community"
"Feature Concentration","com.example.traveltheworld.fragment","NA","https://github.com/0866803699/TravelTheWorld1","TravelTheWorld1"
"Feature Concentration","com.adasplus.dvr_controller.mvp.presenter","NA","https://github.com/04551lh/dvr","dvr"
"Feature Concentration","java8","NA","https://github.com/0000chris11/Java_Examples","Java_Examples"
"Feature Concentration","MonoFlat","MonoFlat.MonoFlat_ThemeContainer, MonoFlat.MouseState, MonoFlat.MonoFlat_ControlBox, MonoFlat.ButtonHoverState, MonoFlat.MonoFlat_TrackBar, MonoFlat.ValueDivisor, MonoFlat.MonoFlat_NotificationBox, MonoFlat.Type, MonoFlat.MonoFlat_Button, MonoFlat.MonoFlat_SocialButton, MonoFlat.MonoFlat_Label, MonoFlat.MonoFlat_LinkLabel, MonoFlat.MonoFlat_HeaderLabel, MonoFlat.MonoFlat_CheckBox, MonoFlat.MonoFlat_RadioButton, MonoFlat.MonoFlat_TextBox, MonoFlat.MonoFlat_Panel, MonoFlat.MonoFlat_Separator","https://github.com/00sanoj00/Devil-APK-Signer","Devil-APK-Signer"
"Feature Concentration","com.adasplus.homepager.activate.mvp.contract","NA","https://github.com/04551lh/dvr","dvr"
"Feature Concentration","com.lntinfotech.services","NA","https://github.com/071921-LTI/Michael-Wilder","Michael-Wilder"
"Feature Concentration","com.manish.interview.leetcode30daychallange","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","coursework2","NA","https://github.com/0oooo/machineLearning","machineLearning"
"Feature Concentration","com.bookbros.dtos","NA","https://github.com/071921-LTI/BookBros-spring-back","BookBros-spring-back"
"Feature Concentration","com.jica.polymorphism","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.bigkoo.pickerview.listener","NA","https://github.com/04551lh/dvr","dvr"
"Feature Concentration","www.day3.generic4","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","P2API.Controllers","P2API.Controllers.MovieController, P2API.Controllers.RatingController, P2API.Controllers.RoleController, P2API.Controllers.ScheduleController, P2API.Controllers.TheaterController, P2API.Controllers.TheaterMovieController, P2API.Controllers.UserController, P2API.Controllers.WeatherForecastController","https://github.com/06012021-dotnet-uta/P2_MovieTheaterGroup","P2_MovieTheaterGroup"
"Feature Concentration","com.jica.inner","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.jica.chap05","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","RPS_Game","RPS_Game.Program","https://github.com/042020-dotnet-uta/ashleyBracken-repo0","ashleyBracken-repo0"
"Feature Concentration","com.revature.services","NA","https://github.com/071921-LTI/Christian-Osada","Christian-Osada"
"Feature Concentration","com.example.googlemapnote","NA","https://github.com/00ZRHun/google-map-note","google-map-note"
"Feature Concentration","com.lntinfotech","NA","https://github.com/071921-LTI/Enrique-Gomez","Enrique-Gomez"
"Feature Concentration","com.revature.exceptions","NA","https://github.com/071921-LTI/CWT-Back","CWT-Back"
"Feature Concentration","home_work_2.presentation","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","net.sf.jxls.transformation","NA","https://github.com/0532/JXLS","JXLS"
"Feature Concentration","cn.judgchen.cisp.service.impl","NA","https://github.com/001glory/CISP","CISP"
"Feature Concentration","com.cskaoyan.javase.homework.day15","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","cn.edu.bupt.common.entry","NA","https://github.com/00pf00/rpc-deviceaccess","rpc-deviceaccess"
"Feature Concentration","com.cskaoyan.javase.homework.day10","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","TofuWarrior.BusinessLogic.Interfaces","TofuWarrior.BusinessLogic.Interfaces.IFollowingRepository, TofuWarrior.BusinessLogic.Interfaces.IIngredientRepository, TofuWarrior.BusinessLogic.Interfaces.IMeasurementRepository, TofuWarrior.BusinessLogic.Interfaces.IRatingRepository, TofuWarrior.BusinessLogic.Interfaces.IRepository, TofuWarrior.BusinessLogic.Interfaces.ITagRepository, TofuWarrior.BusinessLogic.Interfaces.IUserRepository","https://github.com/08162021-dotnet-uta/P2_TheTofuWarriors","P2_TheTofuWarriors"
"Feature Concentration","com.exception","NA","https://github.com/00rj00/OnlineFurnitureStore","OnlineFurnitureStore"
"Feature Concentration","Project_0","Project_0.GetCustomerOrdersInfo, Project_0.IOrders, Project_0.GetStoreOrders, Project_0.NewOrder, Project_0.Program","https://github.com/042020-dotnet-uta/ashleyBracken-repo0","ashleyBracken-repo0"
"Feature Concentration","com.example.traveltheworld.Activityes","NA","https://github.com/0866803699/TravelTheWorld1","TravelTheWorld1"
"Feature Concentration","net.sf.jxls.formula","NA","https://github.com/0532/JXLS","JXLS"
"Feature Concentration","FrontEnd.Pages","FrontEnd.Pages.ErrorModel, FrontEnd.Pages.PrivacyModel, FrontEnd.Pages.SearchModel, FrontEnd.Pages.SessionModel, FrontEnd.Pages.SpeakerModel, FrontEnd.Pages.WelcomeModel","https://github.com/0468386988/ASP.NET-CP-WorkShop","ASP.NET-CP-WorkShop"
"Feature Concentration","com.cskaoyan.javase.homework.day11","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.lti.triplnr20.services","NA","https://github.com/071921-LTI/TRiPLNR-back","TRiPLNR-back"
"Feature Concentration","CookingPapa.Domain.ViewModels","CookingPapa.Domain.ViewModels.GetCookbookVM, CookingPapa.Domain.ViewModels.GetRecipeDetailVM, CookingPapa.Domain.ViewModels.GetRecipesVM, CookingPapa.Domain.ViewModels.InformationVM, CookingPapa.Domain.ViewModels.PostCookbookVM, CookingPapa.Domain.ViewModels.RecipeReviewVM","https://github.com/042020-dotnet-uta/Team1-repo2","Team1-repo2"
"Feature Concentration","tianming.day_24.work2","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","day6","NA","https://github.com/04sohyun/self1","self1"
"Feature Concentration","net.sf.jxls.parser","NA","https://github.com/0532/JXLS","JXLS"
"Feature Concentration","com.shatteredpixel.shatteredpixeldungeon.levels.rooms.sewerboss","NA","https://github.com/00-Evan/shattered-pixel-dungeon-gdx","shattered-pixel-dungeon-gdx"
"Feature Concentration","com.lti.models","NA","https://github.com/071921-LTI/Andy-Wang","Andy-Wang"
"Feature Concentration","tianming.day_26.genericity","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","org.lineageos.setupwizard.util","NA","https://github.com/00p513-dev/SetupWizard-Bliss","SetupWizard-Bliss"
"Feature Concentration","cn.edu.bupt.dao.exception","NA","https://github.com/00pf00/rpc-deviceaccess","rpc-deviceaccess"
"Feature Concentration","www.day4.stack","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.lti.services","NA","https://github.com/071921-LTI/Chris-Pantani","Chris-Pantani"
"Feature Concentration","ShopperContext","ShopperContext.Class1","https://github.com/06012021-dotnet-uta/AlainDuplanP1","AlainDuplanP1"
"Feature Concentration","day5","NA","https://github.com/04sohyun/self1","self1"
"Feature Concentration","StoreApp.Model.Input","StoreApp.Model.Input.CreateAccount, StoreApp.Model.Input.LoginUser, StoreApp.Model.Input.LoginRedirect, StoreApp.Model.Input.AccountManagement, StoreApp.Model.Input.CartAdd","https://github.com/042020-dotnet-uta/jaysonLennon-repo1","jaysonLennon-repo1"
"Feature Concentration","ConsoleShopper.UI","ConsoleShopper.UI.InputValidators, ConsoleShopper.UI.IServiceCollectionExtension","https://github.com/042020-dotnet-uta/sulavAryalPipeLineDemo","sulavAryalPipeLineDemo"
"Feature Concentration","com.penny.leetcode.tcq.problems.easy","NA","https://github.com/0-Vector/leetcode-ex","leetcode-ex"
"Feature Concentration","com.tyy.rpc.invocation","NA","https://github.com/00pf00/rpc","rpc"
"Feature Concentration","com.jica.awt.layout","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","BusinessLayer","BusinessLayer.IMovieService, BusinessLayer.MovieService, BusinessLayer.IRatingService, BusinessLayer.RatingService, BusinessLayer.IRoleService, BusinessLayer.RoleService, BusinessLayer.IScheduleService, BusinessLayer.ScheduleService, BusinessLayer.ITheaterMovieService, BusinessLayer.TheaterMovieService, BusinessLayer.ITheaterService, BusinessLayer.TheaterService, BusinessLayer.IUserService, BusinessLayer.UserService","https://github.com/06012021-dotnet-uta/P2_MovieTheaterGroup","P2_MovieTheaterGroup"
"Feature Concentration","net.sf.jxls.bean","NA","https://github.com/0532/JXLS","JXLS"
"Feature Concentration","com.banyuan.xunhuan4","NA","https://github.com/0501a/understandjava","understandjava"
"Feature Concentration","NotFightClub_WebAPI.Controllers","NotFightClub_WebAPI.Controllers.ChatController, NotFightClub_WebAPI.Controllers.FightController, NotFightClub_WebAPI.Controllers.FighterController, NotFightClub_WebAPI.Controllers.WeaponController, NotFightClub_WebAPI.Controllers.WeatherForecastController","https://github.com/08162021-dotnet-uta/P2_NotFightClub","P2_NotFightClub"
"Feature Concentration","com.kimjisub.unipad.designkit","NA","https://github.com/0226daniel/UniPad-DesignKit","UniPad-DesignKit"
"Feature Concentration","SleepingSelkie.Models","SleepingSelkie.Models.InventoryViewModel, SleepingSelkie.Models.OrderListModel, SleepingSelkie.Models.ErrorViewModel, SleepingSelkie.Models.LoginViewModel, SleepingSelkie.Models.OrderViewModel","https://github.com/042020-dotnet-uta/ashleyBracken-repo1","ashleyBracken-repo1"
"Feature Concentration","lesson6.task4","NA","https://github.com/016image/autotestlearnmav","autotestlearnmav"
"Feature Concentration","rec.input","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","Project0_App","Project0_App.Helper","https://github.com/042020-dotnet-uta/davidSawyer-repo0","davidSawyer-repo0"
"Feature Concentration","threaddemo","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","za.ac.cput.controller.impl","NA","https://github.com/010Jay/Adp3Assignment3Group09","Adp3Assignment3Group09"
"Feature Concentration","net.sf.jxls.controller","NA","https://github.com/0532/JXLS","JXLS"
"Feature Concentration","MapperClasses","MapperClasses.CommentMapUpdate, MapperClasses.CommentMapWithMovie, MapperClasses.CommentMapWithUser, MapperClasses.IMDBMapAdmin, MapperClasses.RatingMapBasic, MapperClasses.RatingMapUpdate, MapperClasses.RatingMapWithMovie, MapperClasses.RatingMapWithUser","https://github.com/06012021-dotnet-uta/P2_MovieTheaterGroup","P2_MovieTheaterGroup"
"Feature Concentration","com.lin.jx3_bot.service","NA","https://github.com/0104lyh/Jx3_Bot","Jx3_Bot"
"Feature Concentration","com.adasplus.homepager.set.activity","NA","https://github.com/04551lh/dvr","dvr"
"Feature Concentration","com.lec.android.wswe.database","NA","https://github.com/0212kr/WSWE","WSWE"
"Feature Concentration","RockPaperScissor","RockPaperScissor.RPS","https://github.com/042020-dotnet-uta/ryanOxford-repo0","ryanOxford-repo0"
"Feature Concentration","com.lti.services","NA","https://github.com/071921-LTI/Michael-Wilder","Michael-Wilder"
"Feature Concentration","com.check.viewdraghelper.customerboom","NA","https://github.com/06110902002/Android_UIKit","Android_UIKit"
"Feature Concentration","com.shatteredpixel.shatteredpixeldungeon.effects.particles","NA","https://github.com/00-Evan/shattered-pixel-dungeon-gdx","shattered-pixel-dungeon-gdx"
"Feature Concentration","com.bliss.csc.englishvoca","NA","https://github.com/0226minji/projectFile","projectFile"
"Feature Concentration","com.adasplus.base.network","NA","https://github.com/04551lh/dvr","dvr"
"Feature Concentration","Day_3.Models","Day_3.Models.ErrorViewModel","https://github.com/0336328069/ProjectCodeFirstCRUD","ProjectCodeFirstCRUD"
"Feature Concentration","ProjectOne.Controllers","ProjectOne.Controllers.CustomersController, ProjectOne.Controllers.HomeController, ProjectOne.Controllers.LocationsController, ProjectOne.Controllers.OrderDetails, ProjectOne.Controllers.OrdersController, ProjectOne.Controllers.ProductsController","https://github.com/042020-dotnet-uta/xavierDiaz-repo1","xavierDiaz-repo1"
"Feature Concentration","com.cskaoyan.javase.homework.day08","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.lti.triplnr20.exceptions","NA","https://github.com/071921-LTI/TRiPLNR-back","TRiPLNR-back"
"Feature Concentration","com.adasplus.dvr_controller.mvp.model","NA","https://github.com/04551lh/dvr","dvr"
"Feature Concentration","day15","NA","https://github.com/04sohyun/self1","self1"
"Feature Concentration","com.penny.leetcode.zhp.algorithm.leetcode","NA","https://github.com/0-Vector/leetcode-ex","leetcode-ex"
"Feature Concentration","com.jica.io.character","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.lntinfotech.daos","NA","https://github.com/071921-LTI/Enrique-Gomez","Enrique-Gomez"
"Feature Concentration","Project0.StoreApplication.Domain.Models","Project0.StoreApplication.Domain.Models.ClothingStore, Project0.StoreApplication.Domain.Models.GroceryStore, Project0.StoreApplication.Domain.Models.JeweleryStore","https://github.com/08162021-dotnet-uta/AkilTomlinsonRepo1","AkilTomlinsonRepo1"
"Feature Concentration","com.cskaoyan.javase.homework.day12","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.shatteredpixel.shatteredpixeldungeon.levels.features","NA","https://github.com/00-Evan/shattered-pixel-dungeon-gdx","shattered-pixel-dungeon-gdx"
"Feature Concentration","Project0","Project0.Program","https://github.com/042020-dotnet-uta/kenEndo-repo0","kenEndo-repo0"
"Feature Concentration","proj1_OnlineStore.Models","proj1_OnlineStore.Models.Order, proj1_OnlineStore.Models.OrderHistoryViewModel, proj1_OnlineStore.Models.Product, proj1_OnlineStore.Models.ProductsViewModel, proj1_OnlineStore.Models.Customer, proj1_OnlineStore.Models.Location, proj1_OnlineStore.Models.AccountViewModel, proj1_OnlineStore.Models.ErrorViewModel, proj1_OnlineStore.Models.LoginViewModel, proj1_OnlineStore.Models.OrderViewModel","https://github.com/042020-dotnet-uta/johnKear-repo1","johnKear-repo1"
"Feature Concentration","com.example.androidserver.adapter","NA","https://github.com/0352972441/ASSServer","ASSServer"
"Feature Concentration","org.lineageos.setupwizard","NA","https://github.com/00p513-dev/SetupWizard-Bliss","SetupWizard-Bliss"
"Feature Concentration","lnh.servlet","NA","https://github.com/0776375064/doan4","doan4"
"Feature Concentration","com.revature.services","NA","https://github.com/071921-LTI/CWT-Back","CWT-Back"
"Feature Concentration","net.sf.jxls.util","NA","https://github.com/0532/JXLS","JXLS"
"Feature Concentration","Proj0.Dal","Proj0.Dal.Utilities","https://github.com/042020-dotnet-uta/kingsleyOnonachi-repo0","kingsleyOnonachi-repo0"
"Feature Concentration","NoahDesign.Cmd0_FormTest","NoahDesign.Cmd0_FormTest.CmdFormTest, NoahDesign.Cmd0_FormTest.TestForm, NoahDesign.Cmd0_FormTest.EnumParseUtility<TEnum>, NoahDesign.Cmd0_FormTest.ListCompareUtility<T>, NoahDesign.Cmd0_FormTest.Everywhere, NoahDesign.Cmd0_FormTest.TierObject","https://github.com/0326rj/Advanced-BIM-Editor","Advanced-BIM-Editor"
"Feature Concentration","cn.edu.bupt.dao.timeseries","NA","https://github.com/00pf00/rpc-deviceaccess","rpc-deviceaccess"
"Feature Concentration","Day_3.ViewModel","Day_3.ViewModel.InfoStaffViewModel, Day_3.ViewModel.InsertProductsViewModel, Day_3.ViewModel.LoginViewModel, Day_3.ViewModel.ProductsViewModel, Day_3.ViewModel.RegisterViewModel, Day_3.ViewModel.StaffViewModel, Day_3.ViewModel.UpdateProductsViewModel","https://github.com/0336328069/ProjectCodeFirstCRUD","ProjectCodeFirstCRUD"
"Feature Concentration","com.jica.io","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.sanoj.devildeveloper.enoughmovies","NA","https://github.com/00sanoj00/Enough_movies_app_Android","Enough_movies_app_Android"
"Feature Concentration","net.sf.jxls","NA","https://github.com/0532/JXLS","JXLS"
"Feature Concentration","com.scwang.smartrefresh.layout.listener","NA","https://github.com/04551lh/dvr","dvr"
"Feature Concentration","com.watabou.utils","NA","https://github.com/00-Evan/shattered-pixel-dungeon-gdx","shattered-pixel-dungeon-gdx"
"Feature Concentration","Day_3.Services","Day_3.Services.IProduct, Day_3.Services.ProductRepository, Day_3.Services.IStaff, Day_3.Services.StaffRepository, Day_3.Services.StaticService","https://github.com/0336328069/ProjectCodeFirstCRUD","ProjectCodeFirstCRUD"
"Feature Concentration","MyUtils","MyUtils.BaseUnit, MyUtils.SpellingErrorCorrector, MyUtils.IEnumerableExtensions, MyUtils.JtElementExtensionMethods, MyUtils.JtElementIdExtensionMethods, MyUtils.JtBoundingBoxXyzExtensionMethods, MyUtils.JtEdgeArrayExtensionMethods, MyUtils.JtFamilyParameterExtensionMethods, MyUtils.JtFilteredElementCollectorExtensions, MyUtils.JtBuiltInCategoryExtensionMethods, MyUtils.CompatibilityMethods, MyUtils.UnitConvert, MyUtils.WindowHandle","https://github.com/0326rj/Advanced-BIM-Editor","Advanced-BIM-Editor"
"Feature Concentration","com.adasplus.homepager.activate.mvp.model","NA","https://github.com/04551lh/dvr","dvr"
"Feature Concentration","Steppenwolf.PostgresRepositories.Migrations","Steppenwolf.PostgresRepositories.Migrations.Roles, Steppenwolf.PostgresRepositories.Migrations.AddCategories, Steppenwolf.PostgresRepositories.Migrations.AddCategorySlug, Steppenwolf.PostgresRepositories.Migrations.BlogPreview, Steppenwolf.PostgresRepositories.Migrations.PostgresDbContextModelSnapshot","https://github.com/043Tech/Steppenwolf","Steppenwolf"
"Feature Concentration","com.one.daos","NA","https://github.com/071921-LTI/Christian-Osada","Christian-Osada"
"Feature Concentration","com.lti.daos","NA","https://github.com/071921-LTI/David-Veller","David-Veller"
"Feature Concentration","utils","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.controller","NA","https://github.com/00rj00/OnlineFurnitureStore","OnlineFurnitureStore"
"Feature Concentration","com.vo","NA","https://github.com/0104lyh/web-Ex","web-Ex"
"Feature Concentration","io.github.muxiaobai.common.config","NA","https://github.com/00pf00/rpc","rpc"
"Feature Concentration","com.shatteredpixel.shatteredpixeldungeon.items.quest","NA","https://github.com/00-Evan/shattered-pixel-dungeon-gdx","shattered-pixel-dungeon-gdx"
"Feature Concentration","swing.jtree","NA","https://github.com/0000chris11/Java_Examples","Java_Examples"
"Feature Concentration","hmt","NA","https://github.com/0776375064/doan4","doan4"
"Feature Concentration","com.penny.leetcode.tcq.problems.medium","NA","https://github.com/0-Vector/leetcode-ex","leetcode-ex"
"Feature Concentration","net.sf.jxls.sample","NA","https://github.com/0532/JXLS","JXLS"
"Feature Concentration","com.example.demo.controller","NA","https://github.com/000GEV744/Renting-Project","Renting-Project"
"Feature Concentration","com.sgtesting.test","NA","https://github.com/03shilpa/July15Automation","July15Automation"
"Feature Concentration","net.sf.jxls.reader","NA","https://github.com/0532/JXLS","JXLS"
"Feature Concentration","StoreApp.Model.View","StoreApp.Model.View.UserOrderHistoryLine, StoreApp.Model.View.UserOrderHistoryDetail, StoreApp.Model.View.CartAddOk, StoreApp.Model.View.Checkout, StoreApp.Model.View.ItemDetail, StoreApp.Model.View.Storefront","https://github.com/042020-dotnet-uta/jaysonLennon-repo1","jaysonLennon-repo1"
